Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),LIVING_UNIT1:Zone People Occupant Count [](TimeStep),LIVING_UNIT1:Zone Mean Air Temperature [C](TimeStep),ATTIC_UNIT1:Zone Mean Air Temperature [C](TimeStep),LIVING_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),ATTIC_UNIT1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),HTGSETP_SCH:Schedule Value [](TimeStep),CLGSETP_SCH:Schedule Value [](TimeStep),CENTRAL SYSTEM_UNIT1:Air System Total Cooling Energy [J](TimeStep) 
 08/21  13:15:00,31.933750000000005,0.72567,25.00100634926534,50.377940525363559,25.0,0.0,15.6,25.0,4853037.681565726 
 08/21  13:30:00,32.0225,0.72567,25.000906518154346,50.40867762698064,25.0,0.0,15.6,25.0,4989451.158490001 
 08/21  13:45:00,32.111250000000008,0.72567,25.00080404815302,50.35368797916924,25.0,0.0,15.6,25.0,5117586.131778025 
 08/21  14:00:00,32.2,0.72567,25.00070367518252,50.2168322334404,25.0,0.0,15.6,25.0,5236782.147165051 
 08/21  14:15:00,32.2,0.72567,25.000617717267127,49.98436787732079,25.0,0.0,15.6,25.0,5336206.9433769 
 08/21  14:30:00,32.2,0.72567,25.00036634454588,49.69616472206428,25.0,0.0,15.6,25.0,5419239.333088014 
 08/21  14:45:00,32.2,0.72567,25.000353436877498,49.248477628196919,25.0,0.0,15.6,25.0,5494637.007622812 
 08/21  15:00:00,32.2,0.72567,25.0003361145261,48.758865372083757,25.0,0.0,15.6,25.0,5550602.33445941 
 08/21  15:15:00,32.093500000000009,0.72567,25.00029069594352,48.16102658325526,25.0,0.0,15.6,25.0,5605396.12017604 
 08/21  15:30:00,31.987000000000003,0.72567,25.0001772325893,47.53647476324666,24.999999999999998,0.0,15.6,25.0,5629810.443531988 
 08/21  15:45:00,31.8805,0.72567,25.000184619153314,46.697185292203659,24.999999999999998,0.0,15.6,25.0,5636721.136901929 
 08/21  16:00:00,31.774000000000006,0.72567,25.000195323271848,45.84086786262408,24.999999999999998,0.0,15.6,25.0,5622469.1759485979 
 08/21  16:15:00,31.632,0.8849400000000001,25.000127040713037,44.98521131253763,25.0,0.0,15.6,25.0,5683232.1970282229 
 08/21  16:30:00,31.490000000000003,0.8849400000000001,25.0001366530366,43.90078743382131,25.0,0.0,15.6,25.0,5662950.113173601 
 08/21  16:45:00,31.348000000000004,0.8849400000000001,25.000157089685275,42.82488838390363,25.0,0.0,15.6,25.0,5612190.175122133 
 08/21  17:00:00,31.206000000000004,0.8849400000000001,25.00018250717245,41.698085018633729,25.0,0.0,15.6,25.0,5537779.4180095 
 08/21  17:15:00,31.0285,1.6593,25.000162207305615,40.52062563773903,25.0,0.0,15.6,25.0,5593455.476635513 
 08/21  17:30:00,30.851000000000004,1.6593,25.00016510903643,39.42790525906509,25.0,0.0,15.6,25.0,5518802.123727945 
 08/21  17:45:00,30.673500000000005,1.6593,25.000192939395445,38.07417862059988,25.0,0.0,15.6,25.0,5403845.529885121 
 08/21  18:00:00,30.496000000000003,1.6593,25.000234162922657,36.829972407952379,25.0,0.0,15.6,25.0,5246793.503742496 
 08/21  18:15:00,30.229750000000004,2.69079,25.00025804884117,35.61392565395576,25.0,0.0,15.6,25.0,5162392.734699389 
 08/21  18:30:00,29.963500000000005,2.69079,25.000324156540747,34.246773824136187,25.0,0.0,15.6,25.0,4880912.670353597 
 08/21  18:45:00,29.697250000000005,2.69079,25.000393939915744,33.00231836838509,25.0,0.0,15.6,25.0,4541618.712913432 
 08/21  19:00:00,29.431000000000006,2.69079,25.000556896329728,31.987250494353739,25.0,0.0,15.6,25.0,4246950.651879492 
 08/21  19:15:00,29.235750000000004,2.69079,24.99998621163454,30.836142464432326,25.0,0.0,15.6,25.0,4079682.1232164904 
 08/21  19:30:00,29.0405,2.69079,24.999975146191969,29.978866211832245,25.0,0.0,15.6,25.0,3919013.285666359 
 08/21  19:45:00,28.845250000000005,2.69079,25.000000360373869,29.38890628364311,24.999999999999998,0.0,15.6,25.0,3745558.9876572347 
 08/21  20:00:00,28.650000000000003,2.69079,24.999974442847248,28.67977540121354,24.999999999999998,0.0,15.6,25.0,3585463.852416209 
 08/21  20:15:00,28.490250000000004,2.69079,25.00000049993509,28.305736891222645,25.0,0.0,15.6,25.0,3425816.6534881417 
 08/21  20:30:00,28.330500000000006,2.69079,24.999953700375629,27.74330601720665,25.0,0.0,15.6,25.0,3273683.674099856 
 08/21  20:45:00,28.17075,2.69079,24.999928221458395,27.395375807595796,25.0,0.0,15.6,25.0,3134598.019875809 
 08/21  21:00:00,28.011000000000004,2.69079,24.99994077850004,27.073337636950435,25.0,0.0,15.6,25.0,3000558.714679097 
 08/21  21:15:00,27.851250000000005,3.0,25.000002321155763,26.781748390359227,25.0,0.0,15.6,25.0,2844222.4910369624 
 08/21  21:30:00,27.691500000000006,3.0,25.00000292516967,26.51828606156735,25.0,0.0,15.6,25.0,2700253.5062861696 
 08/21  21:45:00,27.531750000000004,3.0,25.0000031055667,26.280603611748515,25.0,0.0,15.6,25.0,2574878.5523323665 
 08/21  22:00:00,27.372000000000005,3.0,25.00000323853755,26.060677133703608,25.0,0.0,15.6,25.0,2458396.5973413835 
 08/21  22:15:00,27.247750000000005,2.69079,24.123331636860024,25.90448310953433,24.0,0.0,15.6,24.0,4299014.108466191 
 08/21  22:30:00,27.123500000000005,2.69079,24.000038939468469,25.708584207359139,24.0,0.0,15.6,24.0,2811349.594304063 
 08/21  22:45:00,26.999250000000005,2.69079,24.000005306933944,25.50238148939755,24.0,0.0,15.6,24.0,3294389.923387487 
 08/21  23:00:00,26.875000000000005,2.69079,24.000003036243834,25.327422644846107,24.0,0.0,15.6,24.0,2935066.9115062349 
 08/21  23:15:00,26.750750000000005,3.0,24.00000321505962,25.174797665002268,24.0,0.0,15.6,24.0,2645103.300894821 
 08/21  23:30:00,26.626500000000005,3.0,24.000003458341845,25.027981080421165,24.0,0.0,15.6,24.0,2462611.93324605 
 08/21  23:45:00,26.502250000000005,3.0,24.00000370826558,24.882728773417737,24.0,0.0,15.6,24.0,2320184.7524682257 
 08/21  24:00:00,26.378000000000005,3.0,24.00000385254701,24.74065327964089,24.0,0.0,15.6,24.0,2197570.142712939 
 07/01  00:15:00,18.125,3.0,23.546351989374874,12.390221650370373,24.0,0.0,15.6,24.0,0.0 
 07/01  00:30:00,19.049999999999998,3.0,23.50019362900016,12.31416500528823,24.0,0.0,15.6,24.0,0.0 
 07/01  00:45:00,19.974999999999999,3.0,23.50524157339539,12.44933776263383,24.0,0.0,15.6,24.0,0.0 
 07/01  01:00:00,20.9,3.0,23.54684365951441,12.743763791328277,24.0,0.0,15.6,24.0,0.0 
 07/01  01:15:00,20.724999999999999,2.69079,23.5468895438028,13.136450440176212,24.0,0.0,15.6,24.0,0.0 
 07/01  01:30:00,20.549999999999998,2.69079,23.45692405945662,13.410160798405866,24.0,0.0,15.6,24.0,0.0 
